ArrSize, Avg, Min, Max, Accuracy
240001,1.664682,1.634260,1.699580,100
250001,1.686503,1.652801,1.724801,100
260001,1.683622,1.653563,1.750301,100
270001,1.675024,1.614168,1.747745,100
280001,1.679080,1.639537,1.703476,100
290001,1.682267,1.608429,1.717384,100
300001,1.678753,1.605861,1.739344,100
310001,1.675674,1.640433,1.731046,100
320001,1.677488,1.644245,1.753635,100
330001,1.668036,1.630474,1.712983,100
340001,1.652557,1.608316,1.699695,100
350001,1.671092,1.645021,1.736987,100
360001,1.668292,1.620343,1.712204,100
370001,1.667733,1.621233,1.756039,100
380001,1.656803,1.613980,1.704988,100
390001,1.657724,1.612342,1.751783,100
400001,1.662624,1.634918,1.705108,100
410001,1.648080,1.604618,1.700535,100
420001,1.654719,1.601232,1.705882,100
430001,1.659399,1.628199,1.701477,100
440001,1.655392,1.614971,1.702489,100
450001,1.663284,1.627561,1.707552,100
460001,1.656937,1.624925,1.675822,100
470001,1.647818,1.598469,1.716045,100
480001,1.656678,1.605780,1.691065,100
490001,1.654306,1.608552,1.691662,100
500000,1.647133,1.601868,1.699406,100
550000,1.648069,1.613725,1.704784,100
600000,1.642990,1.599677,1.674058,100
650000,1.639325,1.607178,1.672308,100
700000,1.641788,1.603294,1.676020,100
750000,1.635831,1.593877,1.700672,100
800000,1.628961,1.589851,1.682741,100
850000,1.634831,1.566253,1.681814,100
900000,1.632130,1.589378,1.682712,100
950000,1.627677,1.584128,1.666497,100
2200000,1.597029,1.549449,1.631240,0
