ArrSize, Avg, Min, Max, Accuracy
140001,2.861923,1.827758,4.001029,100
150001,2.244883,1.961034,3.363351,100
160001,2.816550,2.108143,4.101406,100
170001,2.615356,1.760654,3.542579,100
180001,2.706460,1.757346,3.884979,100
190001,2.488229,1.614391,3.409071,100
200001,2.558550,1.622487,3.715861,100
210001,2.420748,1.933572,2.980848,100
220001,3.008778,2.512570,4.041527,100
230001,2.711976,1.909570,3.691993,100
240001,2.478731,1.738118,3.403673,100
250001,3.018267,1.601674,4.110620,100
260001,2.725799,2.194268,4.590271,100
270001,2.742162,2.152596,3.406506,100
280001,2.984108,2.159081,4.166271,100
290001,2.813953,1.873183,4.013328,100
300001,3.246644,2.119403,4.820254,100
310001,2.702927,1.869397,3.392379,100
320001,2.802884,1.778657,3.715948,100
330001,2.722012,1.751701,3.725034,100
340001,2.911513,2.249985,4.327081,100
350001,3.000297,1.960149,3.886869,100
360001,2.938491,1.736181,4.557440,100
370001,2.894166,2.147738,4.802460,100
380001,3.079582,1.922669,4.937650,100
390001,2.708272,2.130533,4.425709,100
400001,2.577629,1.772198,4.009355,100
410001,2.774039,1.910898,4.139124,100
420001,2.876333,2.177352,4.691934,100
430001,2.717550,1.753231,4.441315,100
440001,2.758029,2.042643,3.432840,100
450001,2.791830,1.789829,3.410201,100
460001,2.515418,1.701788,3.626551,100
470001,2.679370,1.689884,4.251744,100
480001,2.582006,1.856079,3.716886,100
490001,2.950632,1.737709,4.535117,100
500000,2.587193,1.889662,3.639090,100
550000,2.822402,1.747015,4.169953,100
600000,2.496138,1.792220,3.638515,100
650000,2.787399,1.943160,4.117466,100
700000,2.870745,2.076099,4.374484,100
750000,2.776611,1.795599,4.456882,100
800000,3.012452,1.995265,4.491224,100
850000,2.737541,1.720384,4.610699,100
900000,2.878066,1.943646,3.771204,100
950000,2.717509,1.711499,4.434282,100
1000000,2.719906,1.759708,3.930496,100
